name,quadrant,ring,isNew,description
Continuous Integration,Techniques,Adopt,TRUE,
Kanban Approach for R&D,Techniques,Adopt,TRUE,
Microservices,Techniques,Adopt,TRUE,
Continuous Delivery,Techniques,Adopt,TRUE,
Centralized Logging,Techniques,Adopt,TRUE,
Monitoring & Observability,Techniques,Adopt,TRUE,
Backend for Frontend,Techniques,Adopt,TRUE,
Four Key Metrics,Techniques,Adopt,TRUE,
Zero Downtime Deployment,Techniques,Trial,TRUE,
12 Factor App,Techniques,Trial,TRUE,
Trunk-based Development,Techniques,Trial,TRUE,
Feature Flags,Techniques,Assess,TRUE,
Application Containerization,Techniques,Assess,TRUE,
Sidecar pattern,Techniques,Assess,TRUE,
Orchestration,Techniques,Hold,TRUE,
Monorepo,Techniques,Hold,TRUE,
Atlassian Stack (server),Platforms,Adopt,TRUE,
Grafana,Platforms,Adopt,TRUE,
InfluxDB,Platforms,Adopt,TRUE,
Prometheus,Platforms,Adopt,TRUE,
Docker,Platforms,Adopt,TRUE,
TeamCity,Platforms,Adopt,TRUE,
Octopus Deploy,Platforms,Adopt,TRUE,
Elastic Stack,Platforms,Adopt,TRUE,
MS Teams & Office 365,Platforms,Adopt,TRUE,
Power BI,Platforms,Adopt,TRUE,
Hangfire,Platforms,Adopt,TRUE,
MS Power Automate,Platforms,Trial,TRUE,
Azure Key Vault,Platforms,Trial,TRUE,
SonarQube,Platforms,Assess,TRUE,
Atlassian Stack (cloud),Platforms,Assess,TRUE,
Dynatrace,Platforms,Assess,TRUE,
Splunk,Platforms,Hold,TRUE,
HashiCorp Vault,Platforms,Hold,TRUE,
eazyBI,Platforms,Hold,TRUE,
OpenShift,Platforms,Hold,TRUE,
Kubernetes,Platforms,Hold,TRUE,
Webpack,Tools,Adopt,TRUE,
NPM,Tools,Adopt,TRUE,
Telegraf,Tools,Adopt,TRUE,
TestCafe Studio,Tools,Assess,TRUE,
DAPR,Tools,Assess,TRUE,
Mocha,Tools,Hold,TRUE,
Karma,Tools,Hold,TRUE,
YARN,Tools,Hold,TRUE,
Cypress,Tools,Hold,TRUE,
C#,languages-and-frameworks,Adopt,TRUE,
.NET Core,languages-and-frameworks,Adopt,TRUE,
JavaScript,languages-and-frameworks,Adopt,TRUE,
Vue.JS,languages-and-frameworks,Adopt,TRUE,
PowerShell,languages-and-frameworks,Adopt,TRUE,
Python,languages-and-frameworks,Trial,TRUE,
TypeScript,languages-and-frameworks,Assess,TRUE,
Java,languages-and-frameworks,Hold,TRUE,
.NET Framework,languages-and-frameworks,Hold,TRUE,